Review,Brand,Variety,Style,Country,Stars,Count,Average
2183,MAMA,instant rice noodles moo nam tok flavour,Pack,Thailand,3.5,191,3.384816753926702
2182,MAMA,instant rice vermicelli clear soup,Pack,Thailand,3.5,191,3.384816753926702
2181,MAMA,instant rice noodles chicken flavour,Pack,Thailand,4,191,3.384816753926702
2180,MAMA,pho ga rice noodles with artificial chicken flavour,Bowl,Thailand,3,191,3.384816753926702
2179,MAMA,oriental kitchen instant rice vermicelli in gravy,Pack,Thailand,5,191,3.384816753926702
2178,MAMA,instant tom yam rice noodles,Pack,Thailand,4,191,3.384816753926702
2177,MAMA,instant rice noodles vegetable flavour,Pack,Thailand,4,191,3.384816753926702
2176,MAMA,instant rice vermicelli yentafo tom yam mohfai,Pack,Thailand,5,191,3.384816753926702
2175,MAMA,instant flat noodles clear soup,Pack,Thailand,4,191,3.384816753926702
2174,MAMA,cup rice noodles tom saab flavour,Cup,Thailand,5,191,3.384816753926702
2173,MAMA,instant rice noodles stew beef flavour,Pack,Thailand,4,191,3.384816753926702
2172,MAMA,instant rice noodles phnom penh style,Pack,Thailand,4,191,3.384816753926702
2171,MAMA,instant flat noodles tom yam flavour,Pack,Thailand,4,191,3.384816753926702
2169,Happy Family,vegetable flavour instant noodles,Pack,Singapore,4,109,4.126146788990826
2168,Tseng Noodles,rice noodle shallot with braised pork flavor,Pack,Taiwan,5,224,3.6654017857142853
2166,JML,instant noodle artificial beef flavor 7 sour pickled cabbage,Pack,China,4,169,3.4218934911242602
2164,Tseng Noodles,rice noodle chinese mushroom with soybean vegetarian braised pork flavor,Pack,Taiwan,5,224,3.6654017857142853
2163,Nissin,piritto karakuchi tantan udon,Bowl,Japan,4,352,3.981605113636364
2162,Tseng Noodles,rice noodle seafood laksa flavour,Pack,Taiwan,5,224,3.6654017857142853
2161,Nongshim,chal bibim myun,Pack,South Korea,5,307,3.7905537459283387
2160,Menraku,japanese yakisoba umami sauce,Bowl,Japan,5,352,3.981605113636364
2158,A-Sha Dry Noodle,chow mein original flavor,Tray,Taiwan,5,224,3.6654017857142853
2157,Master Kong,artificial mushroom chicken flavor instant noodle,Pack,China,4,169,3.4218934911242602
2156,A-Sha Dry Noodle,chow mein oyster sauce bbq flavor,Tray,Taiwan,2,224,3.6654017857142853
2155,Jingqi,aloe vera guan mian purple sweet potato noodle with spicy miso sauce,Pack,Taiwan,4,224,3.6654017857142853
2154,Jingqi,black eyes bean original noodle with sesame sauce,Pack,Taiwan,4,224,3.6654017857142853
2153,Jingqi,aloe vera guan mian pumpkin noodle with basil sauce,Pack,Taiwan,4,224,3.6654017857142853
2152,Jingqi,black eyes bean cyanobacteria noodle with ginger oil sauce,Pack,Taiwan,5,224,3.6654017857142853
2151,Jingqi,aloe vera guan mian original noodle with sesame sauce,Pack,Taiwan,5,224,3.6654017857142853
2150,Jingqi,black eyes bean purple sweet potato noodle with spicy miso sauce,Pack,Taiwan,3,224,3.6654017857142853
2149,Jingqi,aloe vera guan mian cyanobacteria noodle with ginger oil sauce,Pack,Taiwan,5,224,3.6654017857142853
2148,Jingqi,black eyes bean pumpkin noodles with basil sauce,Pack,Taiwan,5,224,3.6654017857142853
2146,Sapporo Ichiban,kun ramen sumo-kuchikin (smoked chicken),Bowl,Japan,3,352,3.981605113636364
2143,Thien Houng Foods,lemon chicken flavour instant noodles,Pack,Vietnam,3,108,3.187962962962963
2141,Nissin,men shokunin kaoruyasai shio,Bowl,Japan,5,352,3.981605113636364
2140,Wang,rice noodle seafood flavour,Bowl,South Korea,5,307,3.7905537459283387
2139,Fuku,superior soup instant noodles (mfg in thailand),Pack,Hong Kong,4,137,3.8018248175182485
2138,Fuku,superior soup instant noodles (mfg in vietnam),Pack,Hong Kong,4,137,3.8018248175182485
2137,Nissin,demae ramen spicy curry flavour instant noodles,Pack,Hong Kong,4,137,3.8018248175182485
2136,Nissin,demae ramen roast beef flavour instant noodles,Pack,Hong Kong,4,137,3.8018248175182485
2135,Doll,instant noodle supreme abalone and chicken flavour,Pack,Hong Kong,2,137,3.8018248175182485
2134,Four Seas,chicken flavour instant noodle,Pack,Hong Kong,4,137,3.8018248175182485
2133,Nissin,kimchi chikin ramen donburi,Bowl,Japan,5,352,3.981605113636364
2131,Myojo,mee goreng thai tom yum flavour,Pack,Singapore,4,109,4.126146788990826
2130,Kang Shi Fu,artificial salted beef with mushrooms flavour,Pack,Hong Kong,4,137,3.8018248175182485
2129,CarJEN,hot & spicy dry curry with chives soup,Pack,Malaysia,5,155,4.154193548387097
2128,Sapporo Ichiban,taimeiken yousyoku yasangatsukutta omumen,Cup,Japan,4,352,3.981605113636364
2126,Nissin,mennippon oumi chanpon,Bowl,Japan,5,352,3.981605113636364
2125,Happy Family,curry flavour instant noodles,Pack,Singapore,4,109,4.126146788990826
2124,7 Select,nissin instant noodles tom yum seafood creamy flavour king cup,Bowl,Thailand,3.5,191,3.384816753926702
2123,Nissin,cup noodles tom yum shrimp sabb flavour,Cup,Thailand,5,191,3.384816753926702
2122,Nissin,chilli noodles stir fried holy basil flavour,Pack,Thailand,5,191,3.384816753926702
2121,Nissin,instant noodles moo manao flavour,Pack,Thailand,4,191,3.384816753926702
2120,Nissin,super tom yum shrimp,Cup,Thailand,3.5,191,3.384816753926702
2119,Nissin,cup noodles minced pork flavour,Cup,Thailand,3.5,191,3.384816753926702
2118,Nissin,chilli noodles tom yum shrimp creamy soup flavour,Cup,Thailand,3.25,191,3.384816753926702
2117,7 Select,nissin instant noodles shrimp ma nao lui suan flavour king cup,Bowl,Thailand,4,191,3.384816753926702
2116,Nissin,instant noodles tom yum shrimp saab flavour,Pack,Thailand,4,191,3.384816753926702
2115,Nissin,cup noodles moo manao flavour,Cup,Thailand,4,191,3.384816753926702
2114,Nissin,instant noodles minced pork flavour,Pack,Thailand,3.5,191,3.384816753926702
2113,Nissin,cup noodles seafood creamy flavour,Cup,Thailand,4,191,3.384816753926702
2112,Nissin,chilli noodles spicy tom yum flavour,Pack,Thailand,4,191,3.384816753926702
2111,Nissin,cup noodles chilli crab flavour,Cup,Hong Kong,3.75,137,3.8018248175182485
2109,Oni Hot Pot,tuna with shallot flavor noodle,Pack,Taiwan,4.3,224,3.6654017857142853
2108,Weh Lih,gge noodle snack wheat crackers original ramen,Pack,Taiwan,1,224,3.6654017857142853
2106,Itomen,onion flavor shoyu ramen,Pack,Japan,3.5,352,3.981605113636364
2104,Wang,rice noodle kimchi flavor,Bowl,South Korea,4,307,3.7905537459283387
2102,Nissin,cup noodles singapore laksa,Cup,Japan,5,352,3.981605113636364
2101,Samyang Foods,pojangmacha udon,Pack,South Korea,4,307,3.7905537459283387
2100,Myojo,mee goreng original flavour,Pack,Singapore,4,109,4.126146788990826
2099,Sanpo,yakibuta ramen,Bowl,Japan,4,352,3.981605113636364
2097,CarJEN,otentiq cheezy mushroom instant noodles (improved taste),Pack,Malaysia,5,155,4.154193548387097
2096,Maruchan,seimen noukou toro tonkotsu,Bowl,Japan,4,352,3.981605113636364
2095,Nissin,straits kitchen laksa,Pack,Singapore,5,109,4.126146788990826
2094,Nongshim,champong noodle soup spicy seafood flavor,Pack,South Korea,5,307,3.7905537459283387
2093,Oni Hot Pot,seaweed flavour noodle,Pack,Taiwan,2,224,3.6654017857142853
2092,Doll,instant noodle preserved vegetable flavour,Pack,Hong Kong,4,137,3.8018248175182485
2091,MyKuali,penang hokkien prawn noodle authentic taste,Cup,Malaysia,5,155,4.154193548387097
2090,Nissin,nupasta salmon in white sauce flavour instant noodle,Pack,Hong Kong,5,137,3.8018248175182485
2089,Nissin,big cup noodles seafood curry flavour,Cup,Hong Kong,5,137,3.8018248175182485
2088,Nissin,demae iccho beef flavour instant noodle,Bowl,Hong Kong,4,137,3.8018248175182485
2087,Nissin,mie goreng indonesia stir noodle original flavour,Pack,Hong Kong,4,137,3.8018248175182485
2086,Nissin,demae ramen sesame flavour instant noodles,Pack,Hong Kong,5,137,3.8018248175182485
2085,Fuku,superior soup instant rice vermicelli,Bowl,Hong Kong,5,137,3.8018248175182485
2084,Nissin,demae ramen straight noodle kyushu tonkotsu instant noodle,Pack,Hong Kong,5,137,3.8018248175182485
2083,Nissin,taisho fried noodle sesame paste flavour instant noodle,Pack,Hong Kong,5,137,3.8018248175182485
2082,Nissin,cup noodles pork chowder flavour,Cup,Hong Kong,4,137,3.8018248175182485
2081,Nissin,cup mifun spicy beef flavour,Cup,Hong Kong,4,137,3.8018248175182485
2080,Fuku,non-fried superior soup noodle,Pack,Hong Kong,4,137,3.8018248175182485
2079,Nissin,nupasta carbonara flavour instant noodle,Cup,Hong Kong,5,137,3.8018248175182485
2078,Nissin,demae iccho curry beef flavour,Cup,Hong Kong,4,137,3.8018248175182485
2077,Nissin,cup noodles big spicy seafood flavour,Cup,Hong Kong,5,137,3.8018248175182485
2076,Nissin,demae iccho black garlic oil tonkotsu,Bowl,Hong Kong,3.75,137,3.8018248175182485
2075,Mi Sedaap,mi segera mi goreng ayam krispi,Pack,Indonesia,4.5,126,4.067460317460317
2071,A-Sha Dry Noodle,tainan noodle original sauce,Pack,Taiwan,5,224,3.6654017857142853
2070,Tokushima Seifun,negi ramen,Bowl,Japan,1.75,352,3.981605113636364
2069,Doll,instant noodle vegetarian flavour,Pack,Hong Kong,3.75,137,3.8018248175182485
2067,Samyang Foods,fresh jjajang,Pack,South Korea,4.5,307,3.7905537459283387
2066,Marutai,hakata tonkotsu ramen,Pack,Japan,5,352,3.981605113636364
2065,Four Seas,kung tak lam vegetarian noodle (mushroom),Pack,Hong Kong,3,137,3.8018248175182485
2063,Mamee,pepper noodles vegetarian,Pack,Hong Kong,3.25,137,3.8018248175182485
2061,Kamfen,dried mix noodles scallop seafood flavoured,Tray,Hong Kong,4.25,137,3.8018248175182485
2060,Nissin,cup noodle light+ cheese fondue,Cup,Japan,5,352,3.981605113636364
2059,Four Seas,beef and radish flavour instant noodle,Pack,Hong Kong,2.5,137,3.8018248175182485
2058,Zow Zow,instant noodle shrimp tom yam flavoured,Pack,Thailand,3.75,191,3.384816753926702
2055,Nissin,tokyo tokunou gyokai tonkotsu,Bowl,Japan,5,352,3.981605113636364
2052,Indomie,pop mie mi instan cup rasa ayam,Cup,Indonesia,3.5,126,4.067460317460317
2051,Master Kong,artificial pork ribs flavour instant noodle,Pack,China,3.5,169,3.4218934911242602
2050,MyKuali,penang red tom yum goong noodle authentic taste,Cup,Malaysia,5,155,4.154193548387097
2048,Acecook,kadomen koikoku tonkotsu,Bowl,Japan,3.8,352,3.981605113636364
2047,Oni Hot Pot,xo sauce noodle,Pack,Taiwan,5,224,3.6654017857142853
2046,E-Zee,perisa asam pedas mi segera,Pack,Malaysia,4,155,4.154193548387097
2044,Doll,hello kitty dim sum noodle japanese soy sauce flavour,Cup,Hong Kong,3,137,3.8018248175182485
2043,ORee Garden,malaysia green curry noodle,Bowl,Malaysia,5,155,4.154193548387097
2041,Master Kong,tomato sauce instant noodle,Pack,China,4.5,169,3.4218934911242602
2039,Tokushima Seifun,yakibuta ramen,Bowl,Japan,5,352,3.981605113636364
2038,A1,vegetarian herbal noodle,Pack,Malaysia,1.5,155,4.154193548387097
2037,Migawon,hovenia ramen vegetable flavor,Pack,South Korea,3.5,307,3.7905537459283387
2036,A-Sha Dry Noodle,hakka bbq sauce noodle,Pack,Taiwan,4.25,224,3.6654017857142853
2035,Acecook,maru uma curry udon,Cup,Japan,3.5,352,3.981605113636364
2033,Chaudhary's Wai Wai,instant noodles artificial chicken & shrimp flavored,Pack,India,2.5,31,3.3951612903225805
2032,Kamfen,noodle king artificial beef soup flavored,Bowl,Hong Kong,3.75,137,3.8018248175182485
2031,CarJEN,otentiq cheezy curry instant noodles (improved taste),Pack,Malaysia,5,155,4.154193548387097
2030,Myojo,charumera atyificial tonkotsu shouyu flavor,Pack,Japan,3.75,352,3.981605113636364
2027,Nissin,shinshu miso ramen,Bowl,Japan,5,352,3.981605113636364
2026,MyKuali,penang white curry authentic taste cup,Cup,Malaysia,4.75,155,4.154193548387097
2020,Kang Shi Fu,artificial roasted beef,Pack,China,3.5,169,3.4218934911242602
2019,Acecook,seabura tonkotsu ramen,Cup,Japan,3.75,352,3.981605113636364
2018,Pulmuone,noodle with spicy oyster soup,Pack,South Korea,4,307,3.7905537459283387
2017,Samyang Foods,honey & cheese big bowl,Bowl,South Korea,0,307,3.7905537459283387
2015,E-Zee,perisa kari mi segera (improved taste),Pack,Malaysia,5,155,4.154193548387097
2014,Oni Hot Pot,ghost pepper noodle,Pack,Taiwan,4.5,224,3.6654017857142853
2012,MAMA,vegetarian instant noodles shiitake flavour,Pack,Thailand,2,191,3.384816753926702
2010,MAMA,rangers snack noodles popcorn flavour,Pack,Myanmar,3.75,14,3.9464285714285716
2008,Sichuan Baijia,hot spicy flavor instant vermicelli,Bowl,China,3.5,169,3.4218934911242602
2006,Kamfen,wonton noodles beef flavour,Bowl,Hong Kong,3.75,137,3.8018248175182485
2005,A-Sha Dry Noodle,hakka spicy barbeque sauce,Pack,Taiwan,4.5,224,3.6654017857142853
2004,Nissin,donbei dashi shoyu yakiudon,Bowl,Japan,3.75,352,3.981605113636364
2003,Nissin,raoh rich miso flavor,Bowl,Japan,5,352,3.981605113636364
2002,Nissin,cup noodles tom yum goong,Cup,Japan,3.8,352,3.981605113636364
2001,Nissin,cup noodle big seafood clam chowder,Cup,Japan,4,352,3.981605113636364
2000,Nissin,chikin ramen donburi,Bowl,Japan,5,352,3.981605113636364
1999,Nissin,curry udon,Cup,Japan,5,352,3.981605113636364
1998,Nissin,men shokunin shoyu,Bowl,Japan,5,352,3.981605113636364
1997,Nissin,cup noodle vegeta buta-kyabetsu tonkotsu,Cup,Japan,4.3,352,3.981605113636364
1996,Nissin,cup noodle pasta style tarako spaghetti,Cup,Japan,4,352,3.981605113636364
1995,Nissin,cup noodle big cheese mexican chilli,Cup,Japan,5,352,3.981605113636364
1994,Nissin,gyoretsu-no-dekiru-mise-no-ramen (shrimp tantanmen),Bowl,Japan,5,352,3.981605113636364
1993,Nissin,raoh tonkotsu,Pack,Japan,5,352,3.981605113636364
1992,Nissin,cup noodle light plus ratatouille,Cup,Japan,4.5,352,3.981605113636364
1991,Nissin,cup noodle milk chikin ramen,Cup,Japan,5,352,3.981605113636364
1990,Nissin,cup noodle,Cup,Japan,5,352,3.981605113636364
1989,MyKuali,penang white curry noodle authentic taste,Pack,Malaysia,5,155,4.154193548387097
1988,MAMA,instant noodles chicken soup flavour,Pack,Myanmar,3.5,14,3.9464285714285716
1987,Nissin,yokohama walker iekei ramen,Bowl,Japan,4.5,352,3.981605113636364
1986,A-Sha Dry Noodle,quinoa noodle with oyster sauce and vegetables,Pack,Taiwan,4.25,224,3.6654017857142853
1985,Prima Taste,singapore prawn soup la mian,Pack,Singapore,5,109,4.126146788990826
1984,Nissin,chinese tan tan vermicelli,Cup,Hong Kong,5,137,3.8018248175182485
1983,Tokushima Seifun,tokushima ramen,Pack,Japan,4,352,3.981605113636364
1982,Master Kong,assorted pork bone noodle,Pack,China,4,169,3.4218934911242602
1981,MyKuali,penang red tom yum goong noodle authentic taste,Pack,Malaysia,5,155,4.154193548387097
1979,Nissin,big cup noodle ajillo,Cup,Japan,3,352,3.981605113636364
1978,CarJEN,nyonya curry laksa (improved taste),Pack,Malaysia,5,155,4.154193548387097
1977,MyOri,malaysia penang green curry vermicelli (new package),Pack,Malaysia,5,155,4.154193548387097
1976,Itsuki,kumamoto spicy ramen,Pack,Japan,4.25,352,3.981605113636364
1974,Samyang Foods,cheese curry ramyun,Pack,South Korea,5,307,3.7905537459283387
1972,Doll,spicy flavour instant mifun,Pack,Hong Kong,2.75,137,3.8018248175182485
1971,Fujiwara,horse crab flavour ramen,Pack,Japan,3.5,352,3.981605113636364
1970,MyOri,malaysia penang red curry noodle,Pack,Malaysia,5,155,4.154193548387097
1967,Tokushima Seifun,kinchan ramen,Pack,Japan,4.5,352,3.981605113636364
1966,Wei Lih,gge noodle snack wheat crackers soy sauce ramen,Pack,Taiwan,3.75,224,3.6654017857142853
1965,MyKuali,penang spicy prawn soup noodle authentic taste,Pack,Malaysia,5,155,4.154193548387097
1964,MAMA,instant noodles coconut milk flavour,Pack,Myanmar,5,14,3.9464285714285716
1959,Myojo,charumera shoyu ramen,Pack,Japan,4,352,3.981605113636364
1957,MAMA,cup vegetarian instant noodles tom yum flavour,Cup,Thailand,4,191,3.384816753926702
1956,Maruchan,spicy tomato salsa ramen,Cup,Japan,0,352,3.981605113636364
1953,Prima Taste,singapore fish soup la mian,Pack,Singapore,5,109,4.126146788990826
1952,Ve Wong,kung-fu brand instant oriental noodle soup artificial beef flavor,Pack,Taiwan,3.75,224,3.6654017857142853
1950,Fujiwara,red king crab flavour ramen,Pack,Japan,4,352,3.981605113636364
1949,Bamee,oriental style instant noodles shrimp flavour (tom yum),Pack,Thailand,3.5,191,3.384816753926702
1948,Sichuan Baijia,artificial pickled cabbage fish flavor instant vermicelli,Pack,China,1.5,169,3.4218934911242602
1947,Prima Taste,singapore laksa wholegrain la mian,Pack,Singapore,5,109,4.126146788990826
1946,Nissin,raoh shio ramen,Pack,Japan,4.75,352,3.981605113636364
1945,MAMA,oriental style instant noodles masala flavour,Pack,Bangladesh,3.5,7,3.7142857142857144
1944,Wei Lih,gge noodle snack wheat crackers hot spicy,Pack,Taiwan,5,224,3.6654017857142853
1943,New Touch,sugomen niigata seabura shoyu ramen,Bowl,Japan,5,352,3.981605113636364
1942,Ibumie,always mi goreng perisa sambal udang,Pack,Malaysia,3.5,155,4.154193548387097
1940,Nissin,cup noodle pasta style bolognese,Cup,Japan,5,352,3.981605113636364
1939,MAMA,instant noodles shrimp creamy tom yum flavour,Pack,Myanmar,5,14,3.9464285714285716
1938,Nissin,donbei kamodashi soba,Bowl,Japan,5,352,3.981605113636364
1937,MAMA,chicken soup flavour cup noodles,Cup,Myanmar,3.75,14,3.9464285714285716
1935,Love Cook,guanmiao dried noodles with oleum sesami,Pack,Taiwan,3.75,224,3.6654017857142853
1934,Love Cook,guanmiao dried noodles with spicy sauce,Pack,Taiwan,5,224,3.6654017857142853
1933,Love Cook,guanmiao dried noodles with authentic sauce,Pack,Taiwan,4.5,224,3.6654017857142853
1932,Love Cook,guanmiao dried noodles with shallot flavor,Pack,Taiwan,3.75,224,3.6654017857142853
1929,MAMA,instant noodles minced pork flavour,Pack,Cambodia,3.5,5,4.2
1928,Bamee,instant noodles oriental style chicken flavour,Pack,Thailand,3,191,3.384816753926702
1927,Marutai,kogashi megiiri tonkotsu kagoshima ramen,Bowl,Japan,3.5,352,3.981605113636364
1925,Prima,juzz's mee creamy chicken flavour,Pack,Singapore,5,109,4.126146788990826
1924,Sichuan Baijia,broad noodle artificial beef flavor,Pack,China,3.5,169,3.4218934911242602
1922,Mie Sedaap,instant cup mi kuah rasa baso spesial,Cup,Indonesia,1.5,126,4.067460317460317
1920,Itsuki,ramen tonkotudou kumamoto noodles,Pack,Japan,0.75,352,3.981605113636364
1919,Maruchan,shiroi chikara mochi udon,Bowl,Japan,4.5,352,3.981605113636364
1915,Itsuki,yuzu sesame sauce udon,Bowl,Japan,4.5,352,3.981605113636364
1914,Prima,juzz's mee curry flavour,Pack,Singapore,5,109,4.126146788990826
1912,MAMA,instant noodles chicken sichek flavour,Pack,Myanmar,3.75,14,3.9464285714285716
1911,Nissin,emergency chikin ramen cup noodle,Cup,Japan,5,352,3.981605113636364
1908,Nissin,kuroma-yu tonkotsu kumamoto ramen,Bowl,Japan,4.75,352,3.981605113636364
1907,Prima Taste,singapore curry wholegrain la mian,Pack,Singapore,5,109,4.126146788990826
1906,Vifon,chicken flavour asian style instant noodles,Pack,Vietnam,3.5,108,3.187962962962963
1903,Higashimaru,tonkotsu ramen,Pack,Japan,4.5,352,3.981605113636364
1902,MAMA,seafood tom yum sichek flavour,Pack,Myanmar,5,14,3.9464285714285716
1901,Prima,juzz's mee original spicy flavour,Pack,Singapore,5,109,4.126146788990826
1900,Ibumie,always mi goreng perisa kari kapitan,Pack,Malaysia,5,155,4.154193548387097
1898,Master Kong,spicy fish noodle,Bowl,China,3,169,3.4218934911242602
1897,Nissin,cup noodle massaman curry,Cup,Japan,3.5,352,3.981605113636364
1895,Maruchan,seimen houjyun koku shoyu,Bowl,Japan,5,352,3.981605113636364
1894,MAMA,rangers snack noodles bbq flavour,Pack,Myanmar,2.75,14,3.9464285714285716
1893,Nissin,cup noodle sio,Cup,Japan,5,352,3.981605113636364
1892,Ottogi,cheese ramen,Pack,South Korea,4,307,3.7905537459283387
1890,Kuriki,beef tongue shio mayo ramen,Pack,Japan,4.5,352,3.981605113636364
1889,MAMA,rangers snack noodles sour cream flavour,Pack,Myanmar,2.75,14,3.9464285714285716
1888,Nissin,cup noodles kyushu white flavour,Cup,Singapore,3.5,109,4.126146788990826
1887,Myojo,mee poh dry,Pack,Singapore,4.25,109,4.126146788990826
1886,Myojo,chicken abalone flavour,Bowl,Singapore,3.75,109,4.126146788990826
1885,Myojo,ramen char mee 100,Pack,Singapore,3,109,4.126146788990826
1884,Myojo,la ramen spicy mushroom flavour big bowl,Bowl,Singapore,4.5,109,4.126146788990826
1883,Myojo,mee goreng,Pack,Singapore,4,109,4.126146788990826
1882,Myojo,la ramen spicy lobster hot pot flavour big bowl,Bowl,Singapore,4.75,109,4.126146788990826
1881,Myojo,chicken abalone flavour,Pack,Singapore,3.5,109,4.126146788990826
1880,Myojo,thai tom yam flavour,Bowl,Singapore,3.75,109,4.126146788990826
1879,Myojo,chicken tanmen flavour,Pack,Singapore,3.5,109,4.126146788990826
1878,Myojo,extra spicy singapore curry big bowl,Bowl,Singapore,5,109,4.126146788990826
1877,Myojo,la ramen spicy mushroom flavour,Pack,Singapore,4.5,109,4.126146788990826
1876,Myojo,chicken flavour,Pack,Singapore,3.75,109,4.126146788990826
1874,Ibumie,always mi goreng perisa thai tom yam,Pack,Malaysia,2.5,155,4.154193548387097
1873,Vedan,wei wei a instant noodles chicken flavor,Bowl,Taiwan,0,224,3.6654017857142853
1872,Itsuki,hakata ossyoi,Pack,Japan,5,352,3.981605113636364
1871,Nissin,cup noodles minced pork flavour,Cup,Thailand,3.75,191,3.384816753926702
1868,Marutai,kuroma-yu tonkotsu kumamoto ramen,Bowl,Japan,4,352,3.981605113636364
1867,Yum Yum,premier bowl instant noodles stewed pork flavour,Bowl,Thailand,4,191,3.384816753926702
1866,MyKuali,penang spicy prawn soup noodle,Pack,Malaysia,5,155,4.154193548387097
1865,Mama,shrimp tom yum flavour cup noodles,Cup,Myanmar,3.5,14,3.9464285714285716
1863,Baijia,broad noodle pickled vegetable artificial beef flavor,Pack,China,0,169,3.4218934911242602
1862,Ibumie,always mi goreng perisa asli,Pack,Malaysia,3.75,155,4.154193548387097
1860,Nissin,cupo noodle pasta style vongole,Cup,Japan,2.75,352,3.981605113636364
1859,Mama,instant noodles chicken green curry flavour,Pack,Cambodia,5,5,4.2
1858,Myojo,wantan men,Bowl,Japan,5,352,3.981605113636364
1856,Indomie,instant cup noodles mi goreng fried noodles,Cup,Indonesia,5,126,4.067460317460317
1855,Daraz,negi man ramen,Pack,Japan,3,352,3.981605113636364
1854,Mama,chinese kitchen chinese style instant noodles,Pack,Myanmar,3.5,14,3.9464285714285716
1851,Fujiwara,snow crab flavour shio ramen,Pack,Japan,3.5,352,3.981605113636364
1849,Pama,instant rice vermicelli clear soup flavour,Pack,Malaysia,3.5,155,4.154193548387097
1848,MyKuali,penang red tom yum goong noodle (new version),Pack,Malaysia,5,155,4.154193548387097
1845,Mama,oriental style instant noodles shrimp flavour,Pack,Bangladesh,3.25,7,3.7142857142857144
1844,Seven & I,gold sumire ramen,Bowl,Japan,5,352,3.981605113636364
1843,Forest Noodles,sunbaked noodles with sesame sauce,Pack,Taiwan,4.5,224,3.6654017857142853
1842,Forest Noodles,purple sweet potato noodles with taiwanese sauce,Pack,Taiwan,5,224,3.6654017857142853
1841,Forest Noodles,sunbaked noodles with spicy sauce,Pack,Taiwan,4,224,3.6654017857142853
1840,Forest Noodles,sweet potato noodles with sesame paste sauce,Pack,Taiwan,3.25,224,3.6654017857142853
1839,Vit's,taste of malaysia penang white curry ramen,Pack,Malaysia,5,155,4.154193548387097
1838,Vit's,taste of malaysia penang asam laksa fried instant noodle,Pack,Malaysia,4.5,155,4.154193548387097
1837,Vit's,taste of malaysia penang hokkien mee ramen,Pack,Malaysia,5,155,4.154193548387097
1836,Vit's,taste of malaysia penang white curry fried instant noodle,Pack,Malaysia,5,155,4.154193548387097
1835,Vit's,taste of malaysia penang asam laksa ramen,Pack,Malaysia,5,155,4.154193548387097
1834,Vit's,taste of malaysia penang hokkien mee fried instant noodle,Pack,Malaysia,5,155,4.154193548387097
1833,Vit's,instant noodles with chicken flavour,Pack,Malaysia,3.75,155,4.154193548387097
1832,Yum Yum,instant flat shaped noodles boat noodles nam tok flavour,Pack,Thailand,3.5,191,3.384816753926702
1831,Kuriki,plum mayo ramen,Pack,Japan,4,352,3.981605113636364
1830,Tseng Noodles,sichuan pepper flavor,Pack,Taiwan,4.75,224,3.6654017857142853
1829,Tseng Noodles,hu sesame flavor,Pack,Taiwan,5,224,3.6654017857142853
1828,Tseng Noodles,scallion with sichuan pepper  flavor,Pack,Taiwan,5,224,3.6654017857142853
1827,Nongshim,zha wang ((jjawang) noodles with chajang sauce,Pack,South Korea,5,307,3.7905537459283387
1826,Mama,instant noodles stewed beef flavour,Pack,Cambodia,3.5,5,4.2
1825,Sichuan Baijia,broad noodle chilli oil flavor,Pack,China,4.5,169,3.4218934911242602
1823,MyKuali,meekuali spicy fried noodle,Pack,Malaysia,4,155,4.154193548387097
1822,Mi Sedaap,mi kuah rasa baso spesial,Pack,Indonesia,3.5,126,4.067460317460317
1820,Ten-In,veggie king buddha jump instant noodles,Bowl,Taiwan,1.5,224,3.6654017857142853
1819,Yum Yum,premier bowl instant noodles suki flavour,Bowl,Thailand,5,191,3.384816753926702
1818,Sugakiya Foods,nara tenri shoyu ramen,Bowl,Japan,4.5,352,3.981605113636364
1817,Hao Way,penang vegetarian prawn instant bowl noodles,Bowl,Malaysia,4,155,4.154193548387097
1816,Vifon,asian style instant noodles artificial beef flavor,Bowl,Vietnam,3.25,108,3.187962962962963
1815,Nakaya Shouten,hingya no shio ramen,Pack,Japan,4,352,3.981605113636364
1812,Master Kong,mushroom instant noodle,Bowl,China,4.25,169,3.4218934911242602
1810,MyKuali,penang white curry noodle (new version),Pack,Malaysia,5,155,4.154193548387097
1809,Marutai,nagahama hakata tonkotsu ramen,Bowl,Japan,4.75,352,3.981605113636364
1808,Mama,vegetarian instant cup noodle tofu & shiitake flavour,Cup,Thailand,3.5,191,3.384816753926702
1807,Wai Wai,tom yum goong flavour instant noodle,Cup,Thailand,3.5,191,3.384816753926702
1806,Cintan,mi segera mmm... perisa goreng ala indonesia,Pack,Malaysia,3.5,155,4.154193548387097
1805,Mama,oriental style instant noodles tandoori flavour,Pack,Bangladesh,4,7,3.7142857142857144
1803,Mama,vegetarian instant noodles tom yum flavour,Pack,Thailand,4,191,3.384816753926702
1801,Baijia,spicy artificial fei chang instant vermicelli (new recipe),Pack,China,3.75,169,3.4218934911242602
1797,Wai Wai,instant rice vermicelli crab flavour,Pack,Thailand,3.5,191,3.384816753926702
1796,Fujiwara,salty taste chanko noodle,Pack,Japan,4.75,352,3.981605113636364
1794,Vit's,shallot chicken instant noodles,Pack,Malaysia,3,155,4.154193548387097
1793,Cintan,mi segera mmm... perisa asam laksa,Pack,Malaysia,3.5,155,4.154193548387097
1792,A1,soup spices noodle mee rempahan sup,Pack,Malaysia,3.5,155,4.154193548387097
1791,Vit's,tom yam instant noodles,Pack,Malaysia,4.25,155,4.154193548387097
